full_name#string#id#boolean#blank#year#tiny_integer#small_integer#mid_integer#big_ineger#tiny_real#small_real#mid_real#big_real#percentage#character#characters_digits_2#characters_digits_10#command#date
Daphna Bisiker#Arnoseris#1#false##2009#95#11634#-512952#932296327#-13.16#57662.9#934405.88#142052234.74#64.81%#p#no#jPkbpqoYkm#a2p#14 March 2001
Elsie Van Leeuwen#Toothed Spurge#290#true##2012#54#87568#-642921#-528259311#-74.02#-26130.95#198618.99#96136598.55#20.26%#q#HF#O8efoeSIzv#darwinup#4 November 2008
Loralee Randleson#Island Mallow#291#false##1992#-83#15112#713828#684579032#14.92#-27885.64#-527483.56#-794985838.13#62.70%#o#ck#Z0FSeaKdXT#db_recover#1 June 2009
Tuckie Husk#Nodding Wakerobin#292#true##1992#-24#-4568#-966934#324940740#12.18#-85662.94#-944050.75#-55677664.54#66.75%#x#W0#k9AkIPCSUN#dbiprof#14 February 2010
Rickie Ferneyhough#White Leadtree#293#false##1999#-51#-41696#937321#-456549030#-34.36#-45412.53#-50018.12#174277366.02#11.32%#a#er#fMZ9nuoy3a#de-macro#22 June 2010
Jeana Rymell#Desert Snowberry#294#true##1995#22#77943#-91144#641470821#-16.22#-43775.83#396979.56#-51232834.32#19.33%#a#3#ISVIOvRNI5#devnag#4 January 2011
Eliot Mation#Sticky Cinquefoil#295#true##2011#-38#22188#18038#-561553581#47.72#-36342.24#-771081.78#858641117.16#61.10%#s#sE#EcALGAYqAa#dirs#4 July 2012
Edwin Lapwood#Tufted Bulrush#296#true##1991#-20#72001#-132247#692535711#-78.59#-59218.51#-175358.81#-259858419.4#61.95%#i#CZ#jPVlaLuFLB#ditto#20 October 2013
Pepillo Leisman#Narrowleaf Airplant#297#true##1972#-70#-36819#264752#-660012079#93.15#-43024.93#-793520.69#577598721.05#49.27%#m#pX#aAK1CZKEXb#dot#16 August 2014
Stanton Swadling#Tidestrom's Lupine#298#true##2011#16#-35123#125102#536557659#-13.95#52101.48#-444769.5#901456194.84#45.24%#i#5c#e211KPndwB#dsenableroot#9 March 2016
Nial Kisar#White Edge Sedge#299#true##2003#96#-36896#300922#602236088#-85.92#-90553.07#-100460#502818265.69#80.67%#a#eW#MHifpmQQnM#du#23 November 2017
Shelley Blenkharn#Silver Vine#300#true##1999#-65#-64546#-893513#392537890#55.89#45961.98#887109#-139020391.79#54.82%#i#zR#zVFdEXUlER#dvihp#21 December 2017
Karine Clissell#Wright's Amaranth#301#true##2009#-76#-55317#-268230#-627772932#82.01#91891.06#-841588.44#-472207656.74#24.31%#l#jE#J54blzbo1t#dvipdfm#14 March 2001
Gayle Lytlle#Liverwort#302#false##2002#-9#-53202#941184#-540419282#6.77#79746.17#-105611.35#-858816785.93#14.22%#t#Jd#5ntM4pdjHz#dvitomp#21 August 2002
Rina Arr#Aleutian Bog Orchid#303#false##1994#-57#-56683#138709#184805790#-40.92#37975.32#-110103.83#638579384.57#81.90%#i#KT#m9g55KP3la#date#4 September 2002
Sancho Ostrich#Common Hoptree#304#true##1996#69#28721#294649#-645101591#-61.39#-90840.95#128459.76#486298346.26#82.97%#z#IR#Th9IxbXCnI#db_stat#24 November 2002
Ethel Treslove#Shortstalk False Bindweed#305#false##2008#-79#-80961#160534#-903954013#31.43#9859.24#7481#960638722.33#18.03%#e#i8#iStxBi8c9z#dbiprof5.16#30 November 2002
Madel Arnholz#Goose Tongue#306#true##1994#-22#-690#91490#114746436#-96.89#35606.31#485437#-894599209.55#39.45%#n#gt#Let0O3KW6M#debinhex.pl#9 January 2003
Ebenezer Coldbreath#Little Heartleaf#307#false##2010#15#92224#591636#942497562#-41.03#14583.18#-83183.7#364898728.64#17.23%#x#YF#2yKreSeJBW#deweb#10 January 2003
Holly Dewitt#Ithaca Blackberry#308#false##1987#-89#-38452#832275#402004284#11.9#-83270.44#486281.22#-95687732.98#89.58%#z#Pn#PQBM3OPTwI#disdvi#8 February 2003
Wallas Doxsey#Widecalyx Monkeyflower#309#true##2011#57#49888#184352#-266835382#-39.17#92951.21#-78318#460703889.6#22.54%#h#SE#jG82bHNZvz#djpeg#11 June 2003
Rosana Samwaye#Sycamore Fig#310#false##2010#-93#7720#498404#-128333971#-23.66#-4625.83#628725.18#-117508057.8#27.09%#i#z8#ARLao9sjV0#dot2gxl#9 August 2003
Gage Sendall#Eastern Bottlebrush Grass#311#false##2010#-40#-83104#358341#-117483369#-50.65#63467.17#-621187.66#233815200.94#19.32%#o#s4#U9AS2CTtVm#dserr#5 June 2004
Shelly Zucker#Hypotrachyna Lichen#312#false##1998#76#35383#336790#-22364934#32.12#83587.62#279258.3#16709148.79#67.04%#o#yX#14FyL4DvV0#dv2dt#6 October 2004
Grenville Demanche#Cuban Maiden Fern#313#false##2005#-62#-31820#-974009#-843409910#-59.56#59187.09#-56319.01#-48307487.23#07.58%#f#br#UHM8wA4slC#dviinfox#17 May 2005
Alyssa Pallister#Common Asparagus Fern#314#true##2009#-45#35855#-981327#-425958085#19.76#-12725.37#37708.98#259743914.31#81.85%#v#0l#prO81o2z2Y#dvipdfmx#17 October 2005
Nanon Cursey#Valley Oak#315#true##1997#76#-89347#898685#-97967150#-59.11#-30643.16#-283676.31#-792378142.98#24.93%#l#oQ#lU501XUFWf#dvitype#24 September 2006
Roley Craister#Phascum Moss#316#true##1997#14#-43007#159128#-38372977#-74.38#11732.44#344848.26#-794422955.02#91.80%#w#OR#IdDcE92IIJ#db_archive#4 November 2007
Shandie Speere#Yukon Podistera#317#false##2012#3#-77185#-314724#330429797#3.13#-78057.38#-598267.9#-43430942.6#85.27%#f#Ev#YlDd81a5ha#db_upgrade#18 June 2008
Eloise Snassell#Dense Logwood#318#true##1999#-10#23552#758468#-913994401#76.53#32522.99#-728705#615172294.24#79.31%#u#BO#OoQ843sdQd#dbiprof5.18#11 August 2009
Merle Steanson#Hygroamblystegium Moss#319#true##1993#15#-86607#672061#-243386782#-88.8#-50418.26#541734#-349164157.19#35.30%#x#nd#ub0r9FTFHT#debinhex5.18.pl#15 February 2010
Aime Pettett#Big Bend Bluegrass#320#true##2009#33#68188#600490#136173865#64.96#-12757.91#492902.97#849667600.65#84.40%#s#A7#bRXoDrT5tN#df#12 May 2010
Birdie Janks#Wright's Goldenrod#321#true##1988#29#79732#-714145#-441819109#17.27#64993.29#-928966.23#120919042.85#99.13%#n#op#LGiRqWGsX9#diskhits#17 December 2010
Aldin Joutapavicius#Parish's Catchfly#322#true##2004#70#94684#135174#450093339#-53.41#-24372.4#843348.09#-474628005.01#75.78%#w#0n#59hJl2Bd4o#dmesg#22 October 2012
Gladys Dufty#Dicranum Moss#323#false##2003#-50#94958#718913#-248080499#-40.58#46918.32#-66699.74#-589151801.15#14.69%#v#2d#kyDG3KQsV6#dot_builtinsd#24 February 2013
Anne Bickerdyke#Italian Gladiolus#324#false##2010#21#77611#-815734#-468300973#-77.79#60381.56#152017.86#-309576706.65#71.26%#b#c0#UbcAdTTL6M#dsexport#3 October 2015
Annie Fearnyough#Talh#325#true##1996#37#-10130#-455935#304141762#36.45#7329.44#66650.76#828239498.08#64.76%#j#Fy#5QOwrSxwk1#dvi2fax#8 May 2017
Barn Aymer#Carpet Phlox#326#true##2001#-16#-12164#772198#-199777705#22.01#87690.29#-867417.94#-24032482.6#22.75%#d#Cj#XnkdBxzhlR#dvilj#13 November 2000
Cory Ferrucci#Macrocoma Moss#327#false##1994#92#-31604#-636520#-445337825#30.41#37094.83#836096.27#662234425.87#15.60%#h#Re#PWSjpsKlqr#dvipdft#16 December 2000
Steward Ashingden#Osmund Fissidens Moss#328#false##2011#17#41232#928878#-850644815#87.7#1964.23#982652.72#-635826624.32#79.06%#a#9x#xLxZASBFFT#dwarfdump#22 March 2001
Vera Patten#Tennessee Starwort#329#false##1987#-52#50635#-601922#745133572#-6.22#87832.69#127129#834419057.46#28.42%#a#7W#iprMi4K6DB#db_checkpoint#7 June 2001
Leonidas Calven#Congo Coffee#330#false##2007#19#-69684#887071#-552618690#14.96#-22338.88#384388#-178148734.47#50.24%#n#bA#MiMoZxEIF8#db_verify#2 December 2001
Jared Cordeux#Reeves' Meadowsweet#331#false##1987#61#30533#-843773#-317577826#89.09#16359.14#-445825.59#132261707.41#77.48%#o#eq#2CIe954si3#dbiproxy#23 December 2001
Dirk Olliff#Trelease's Beavertail Pricklypear#332#false##2004#70#2240#640457#125340376#-79.13#98195.64#253407#347538727.89#01.25%#x#x2#p6bHnD4fp0#declare#23 March 2002
Kathie Loche#Rhytidiopsis Moss#333#false##1992#-77#-37863#658825#125614788#-78.62#-25535.54#-992020.83#801966593.91#50.08%#j#cc#oN29wzjAET#diadia#16 October 2002
Towny Hellwich#Mile-a-minute#334#false##2007#-7#-75867#277239#-773240647#22.21#1153.63#-639585.11#784181645.13#26.44%#z#L5#UB2CS5n9Pq#disklabel#6 December 2002
Delano Stirtle#Lady Bird's Centaury#335#false##2007#35#-66825#699997#303071904#-62.48#21637.15#735479.99#259784448.37#41.65%#t#Hm#swRprGwVay#dnctl#5 May 2003
Cassi Shannahan#Gold-of-pleasure#336#true##2012#-55#-59112#644799#290136483#-57.59#-15298.1#304827.43#226565452.65#23.53%#o#aW#uOrUg1p5O3#dot_clean#18 October 2003
Desdemona Arends#Drops-of-gold#337#true##1988#-75#10160#576969#-582557604#-86.92#-44440.38#123625.76#-225139112.05#71.98%#e#SP#BdxiJBbU9o#dsimport#18 April 2004
Collen Gooms#Weill's Lichenochora Lichen#338#false##2006#52#46222#347071#-442644933#-44.49#18316.34#943469.47#-208652152.1#76.97%#e#8X#hDpcjGlgQC#dvi2tty#15 December 2005
Ninnetta McWard#Drummond's Leaf-flower#339#true##2005#8#-78435#-574193#-838085903#-26.83#-1980.44#521545.08#836850361.44#64.32%#w#lm#ms20jYAeQc#dvilj2p#25 December 2005
Lorine Crookall#Early Saxifrage#340#true##1989#-36#89733#-904086#-146837599#40.08#94652.69#740286.83#-274113173.94#75.40%#m#wk#pxUsTKB7Pp#dvipng#2 September 2007
Ervin Brixey#Pongame Oiltree#341#false##2010#-96#-14017#348658#353968148#88.98#-22318.37#-928027.68#-397202616.72#19.37%#o#vY#rWCgJ1Yhfg#dwebp#28 October 2008
Raynard Dancer#Downy Paintedcup#342#false##2005#-72#78735#241841#-483508704#-32.24#-77562.5#-271518.68#5168301#57.27%#d#kC#a9LyyXGcn5#db_codegen#10 March 2009
Gerty Vasic#Canby's Lousewort#343#false##1993#15#-20952#-410900#491199915#31.71#41965.08#592038.06#436538225.94#38.81%#u#ff#oc5qQiTW8T#dbicadmin#11 March 2010
Lazare Emeny#Napa Cryptantha#344#true##2007#63#-24449#-515473#194436067#-0.72#-51434.46#-973371.41#-169357054.91#83.94%#y#ox#n3jPELQaqP#dbiproxy5.16d#28 January 2011
Kipp Denyer#Needle Stonecrop#345#false##2002#-20#-15666#-558548#-841596724#-54.74#-20109.78#521793#-928264510.82#54.36%#f#dF#igfFYM1EXd#defaults#18 September 2011
Corrie Imos#Cutleaf Island Spleenwort#346#true##1986#-91#76656#-12661#992589496#-39.55#27507.77#537450.69#-501747953.94#98.54%#p#qo#NmhrmsL3At#diff#19 June 2012
Horatio Tregoning#Defect Barnacle Lichen#347#true##1999#82#20354#-954316#900887499#-35.97#-89035.84#434218.21#-275572007.64#93.32%#d#WQ#F72cUyuPpV#disktool#12 June 2014
Patrizius Cluatt#American Alumroot#348#false##2005#12#-6732#-465982#897238096#68.29#-72388.98#-204782.09#-940289084.05#62.64%#l#xp#6gsXiZfmBK#dns-sd#13 March 2015
Glyn Grabbam#Goatsbeard#349#false##1989#38#70385#-724821#434714943#-55.76#-40160.39#-474646#-971620426.47#71.78%#q#zo#gzM3JXpSJl#drutil#12 November 2015
Edeline Hindsberg#Florida Ironweed#350#false##1999#23#-39914#792243#924584133#32.45#41432.1#-572925#-50821987.73#43.13%#y#G9#6QClFsTuP0#dsmemberutild#16 December 2017
Konstantine Penk#Ridged Yellow Flax#351#false##2010#40#-23109#494343#-31053831#7.03#-39927.4#-96527.32#737975770.84#94.62%#l#jU#l9o5vcL1lW#dviasm#1 December 2000
Lesley Coopland#Kodomillet#352#true##2012#97#-7770#-135432#549074023#69.14#-36489.69#85634.44#835459408.63#42.81%#y#vC#V94YUi6CO1#dvilj4#10 March 2001
Broderic Oulett#New Mexico Rockdaisy#353#false##1967#-83#-94171#516609#348443881#-91.08#-37436.65#-479842.8#255900434.09#66.29%#j#EU#i4kSinnkqW#dvipos#28 June 2001
Si Ollerton#Running Rockcress#354#false##2003#-2#-13947#-591520#-651883795#-57.16#-81481.45#-714407.95#391240086.9#28.71%#i#88#G1XZROqj1F#dynamic_pager#29 March 2002
Pegeen Huster#Manyflower Onion#355#true##1973#-58#33723#465390#535589106#7.19#-39324.27#297082.05#728872465.87#19.33%#d#nR#nEbsYtAuhm#db_deadlockd#5 March 2003
Darelle Daelman#Pine Barren Sandreed#356#true##2006#-98#-48537#-19045#805899152#28.76#-41517.45#-530056.28#623921810#69.08%#j#ax#yCtTaPMF78#dbicadmin5.16d#30 June 2004
Shaylynn Solano#Scarlet Bottlebrush#357#true##1989#-46#56638#-551426#296329496#-81.69#-57965.54#-7316.87#871554257.07#28.65%#i#zj#w61Acq52W9#dbiproxy5.18d#12 October 2005
Ernest Fawcitt#Hitchcock's Smooth Woodrush#358#true##1993#20#64239#-689229#175496781#-50.87#-57130.51#966573.31#-643741797.8#88.61%#r#nc#E10SZMS1Po#defragcli#4 April 2006
Fredi Risdale#Coastal Plain Panicgrass#359#true##1999#-8#-76644#670919#467245574#50.02#-13608.52#-561513.57#670972183.75#64.91%#x#Yi#gLfMReDqna#diff3#14 May 2008
Saunder Doolan#Asian Mustard#360#false##2011#-68#-41042#-139447#-234870969#15.77#-88020.97#766024#219455975.96#53.33%#p#Eg#jEYQMQ5aNJ#diskutil#9 July 2008
Whitaker Pennycuick#Reverchon's Bristlegrass#361#true##2005#68#-89622#404336#71318495#-11.39#-51091.89#585785.47#412615599.31#98.38%#v#NR#PBbPaDQBBR#dnsextd#13 September 2009
Winnah Smart#Nihoa Pritchardia#362#true##2012#-30#24533#686279#931942062#25.12#2557.46#214496.13#15380381.65#27.10%#r#Ez#qMM0EMiPJB#dscacheutild#14 February 2010
Victoria Betty#Brake Fern#363#false##2000#80#-79289#-768925#-216511331#-98.37#-42449.35#636794.77#-925140083.8#81.97%#j#rr#ZO7NbxQHI3#dsymutil#2 November 2010
Alberta Sharvill#Woodland Poppymallow#364#true##2004#-32#88364#144969#-706728077#-6.12#-2163#-6158.22#177966557.4#97.75%#z#pl#UkkhSvUCRg#dvibook#23 February 2012
Bebe Mugford#Leafy Desertdandelion#365#true##1994#49#5670#252959#-621246856#-77.17#60385.81#-972821.55#384595214.69#74.95%#n#Gu#RYG9FSoPlC#dvilj4l#6 June 2012
Esme Babber#Arizona Alumroot#366#false##2002#84#-79623#-466219#566213363#-81.6#92621.26#-47256.37#-884694707.35#20.71%#z#BG#4IVzYOoJNC#dvips#9 July 2012
Pooh Dullingham#Bridges' Pincushionplant#367#false##1994#-60#33620#-122752#807374046#68.28#78852.51#393234.73#356283146.35#01.14%#f#d5#5jZXGer30S#db_dump#27 August 2012
Pancho Collingham#Lecidea Lichen#368#true##2008#-99#69365#-786340#708891669#-49.06#-50602.9#-200523.36#610684099.03#12.01%#m#rF#4ykTs7TeHT#dbicadmin5.18#17 September 2013
Reuben Riepl#Humboldt Bedstraw#369#true##2013#-38#69912#378850#181905455#-61.79#-91574.19#253845.8#-650241892.1#36.69%#m#kQ#LDrkpEgx0L#dbmmanage#19 February 2014
Carter Waplinton#Parish's Reinkella Lichen#370#false##2006#68#-69768#-703704#735388011#61.24#50089.85#-227381.99#248401485.78#68.40%#g#OI#uRXZA5qiUj#depythontexd#30 June 2014
Staci Pinney#Rudge's Waterlily#371#false##2006#99#61254#273864#-719091058#62.01#-61064.62#-554919.41#988419731.34#71.89%#l#RT#afSSVifgeA#diffstat#8 August 2014
Keeley Troyes#Boreal Locoweed#372#true##1996#98#86143#96612#-310765251#-75.27#-23150.27#-920320.32#976806136.28#20.44%#b#HI#st5f4XRru6#disown#22 January 2015
Danny Hess#Creeping Thyme#373#false##1995#49#-39785#504123#-400005136#94.81#27829.39#-419866.77#844269799.29#28.04%#a#bW#RXUmeyO3g0#do#21 December 2015
Vinnie Lycett#Blindia Moss#374#false##2009#-62#42717#-622323#259046454#-73.42#-38815.64#986104#47376438.91#04.91%#s#b5#Wr9vsbjpmb#dscl#19 February 2017
Ernst Szymanzyk#Hyparrhenia#375#true##2004#-80#59861#722501#33132766#-21.09#73513.1#-314687.02#515255766.35#86.94%#m#TW#gkYdW9bY4A#dt2dv#18 May 2017
Leda Akaster#Woodreed#376#true##1987#-37#-2294#215918#-261120937#-0.44#-7072.83#831244.22#925197211.19#24.67%#d#Dw#BIUDolfABv#dviconcat#22 May 2001
Daria Poor#Waianae Range Papala#377#false##1991#24#96243#457178#-915708786#34.69#14636.61#-778138.15#-538048249.2#80.25%#w#rF#4vPB580vvk#dvilj6#8 November 2001
Hartley Castagneto#Sulphur-flower Buckwheat#378#false##1997#21#-43322#-493708#132760647#-9.06#99159.28#-403098.5#-438124520.67#50.18%#f#vE#TJwkt7gSTN#dvired#9 November 2001
Dunstan Gallally#Candletree#379#false##1999#69#-58236#360000#-516475939#-66.24#-22468.66#749424.82#-725974133.19#47.56%#c#RT#VIuwZfTBV3#db_hotbackupd#17 February 2002
Rea Kneeland#Spotted Water Hemlock#380#false##2007#59#-41371#-154399#-645134887#38.79#-22505.64#631616#-916854585.49#80.52%#h#VH#cn2uc8AwsL#dbilogstripd#3 January 2003
Kerrill Limeburner#Priva#381#false##1989#43#-93804#825160#-140696303#62.79#14840.54#-906556.93#-936877146.15#72.47%#d#Oh#pzzHDkCWNB#dc#24 January 2003
Sharona Prestie#Annual Yellow Sweetclover#382#true##1985#44#35833#-660665#754166733#63.08#1340.87#146256.22#-206452466.94#79.64%#m#ut#OPxKoeAFlA#desdp#1 April 2003
Veradis Denk#Pride-of-barbados#383#true##2009#-38#3906#499744#-959258556#-35.96#-97017.51#739455.43#966780549.24#55.60%#b#SI#xVTViOfS78#dig#16 May 2003
Dorolice Kerford#Tickletongue#384#false##2001#17#-28541#602929#-776158878#18.98#96801.78#613766.27#629169000.25#77.09%#k#Vi#Sy41U6U5cd#display#1 September 2003
Betty Lewing#Canadian White Violet#385#false##2009#38#-45225#658421#971691134#-77.03#-69389.1#401074.55#-105731770.31#95.57%#o#Di#SOiXDyyQJl#domainname#21 October 2003
Albertina McGrirl#Lacebark#386#false##2002#50#-51042#-707849#201940550#-13.2#60884.91#-149980.68#-358005035.35#59.19%#n#Ca#BDmN3s0Wif#dsconfigad#20 May 2005
Emilie O'Kynsillaghe#Deceptive Marbleseed#387#false##1999#88#41364#-499095#523898140#31.9#66257.88#-464115.11#762124373.09#16.84%#d#Cr#dfNyYNfqsf#dtrace#29 November 2006
Catharine Willmore#Creeping Liriope#388#false##1997#-50#-91997#-650031#-892517295#21.53#-72566.86#117258.43#774731207.44#50.94%#m#vg#Iv90ijSPbw#dvicopy#27 January 2007
Rikki Dawltrey#Smallflower Thoroughwort#389#false##2009#88#6636#-720959#772612771#85.84#-93293.39#190497.89#582959726.85#76.60%#w#n8#TzqvYGg7OR#dvilualatexd#26 July 2007
Beryle Kadwallider#Bearded Milkvetch#390#true##1993#-7#-34831#110130#256299226#87.48#-90951.07#-298593.74#-468824948.62#59.42%#r#j4#rlJ8wwU2ZF#dviselect #7 November 2008
Deane Ives#Pale Desert-thorn#391#false##2006#-54#83935#274770#-96086724#52.47#-99629.23#-488703.74#296351260#51.17%#x#hv#ZcSj24K65I#lacheck#12 November 2008
Damiano Janacek#Hawaiian Nadvornikia#392#false##2004#91#60656#-233163#-694949647#14.23#8617.48#549307.35#-455136583.61#46.10%#l#Ep#XfM7zrEsyB#latexdef#13 July 2010
Joannes Kelsey#Northern Dewberry#393#false##2011#-11#22922#-352608#-335736244#-71.78#-20459.25#-529450.41#-294594407.46#14.17%#l#qK#WPwfDumnti#ldapcompare#9 April 2012
Robinetta Robjohns#Spiny Logwood#394#true##1999#-69#-74918#-61012#-654120074#-19.92#83744.95#570291.09#387882148.49#01.95%#a#Fo#DkMYOu3C1n#lessecho#3 November 2013
Lauryn Gawn#Bigelow's Thoroughwort#395#true##1994#-30#-87107#-33904#283728914#-15.12#-79761.59#-403596#345656270.48#30.82%#j#IY#djZJBOYB9y#lipo#23 May 2015
Aidan McEttigen#Saltwood#396#false##1986#95#45528#23294#-469718071#94.34#-79049.82#427401.31#673988919.78#10.97%#d#QX#yddg6AN8is#locale#15 October 2015
Ernie McIlreavy#Sessileleaf Cyanea#397#false##2001#36#-38641#247963#662009030#97.35#-64382.06#659580.66#303354377.26#19.35%#f#ka#PHTaZfBs5i#lookbib#19 February 2016
Grace Jakubovsky#Sycamore Maple#398#true##2001#92#-30156#774701#525362018#37.71#-92712.66#82014.52#-159463765.02#88.71%#j#Ie#ESqnlxqwbh#lsdlualatex#1 October 2016
Nixie Cluse#Bog Bulrush#399#true##2001#-54#55119#-164830#864501863#88.33#79694.08#-451974.34#798310111.36#69.12%#n#9e#LlWr1yTtCd#lwp-mirror5.16#15 October 2016
Edwin Rodell#Goldencarpet Buckwheat#400#true##1993#-42#-24118#269763#-937460400#67.59#-94274.16#-581759.83#-638281198.91#29.52%#t#Iu#KHb6HUfHL5#lzma#3 April 2017
Grantley MacParland#Reverchon's Blazingstar#401#true##1973#7#-42156#-920475#960428611#-37.62#90075.3#519574.79#818324726.87#37.65%#w#JQ#1EBf9sNOvh#lam#30 June 2001
Mollee Hukin#Woodland False Buttonweed#402#true##1994#57#-94543#-315178#-232637910#-58.15#17130.7#-623605.58#649740824.66#15.78%#j#Rz#SHLpcvA2yj#latexdiff#15 December 2001
Hephzibah Weightman#American Long-leaved Bamboo#403#false##2006#69#-19856#-510048#322419071#48.4#-26776.31#-992257.3#-478958547.05#26.54%#o#Ma#oXIlFfA3Jb#ldapdelete#9 July 2002
Alethea Rozanski#African Milkweed#404#false##2003#19#66185#988526#633550048#-35.34#-84308.46#-395256.6#398276014.02#31.41%#c#aK#gp9ayWwPXT#let#17 September 2002
Carlin Noah#Forest Peperomia#405#true##1995#96#30628#-968822#-34374049#-18.08#-37154.72#186861.41#-415396029.81#68.76%#s#JM#8lVvoQZVM4#listbib#22 October 2003
Finn Kettridge#Slender Threeseed Mercury#406#true##1995#-7#-35844#-513211#330905765#56.72#-49067.46#657679.54#950701020.91#79.76%#j#UA#cWW3vHasj0#localedef#23 May 2004
Dar Lorenzini#Theobroma#407#true##1999#-61#95884#-256990#-954802540#-3.8#98041.64#-253851.39#-268999829.6#68.73%#t#oa#enj9bEuDs3#lorder#7 September 2004
Wilfred Tommasuzzi#Lollipop Mimosa#408#false##1994#36#-2684#808978#346005054#-35.68#12497.29#507036.11#-552514388.4#55.11%#j#yl#7wWcl7iaEX#lsappinfo#18 June 2005
Clarey Glenwright#Roundleaf Oxytheca#409#true##2002#43#27170#231903#-163514586#66.1#-99538#560536.69#112851485.2#50.07%#f#4E#LP5rBImH2M#luaotfload-tool#26 January 2006
Kathryn Fugere#Shasta Panicgrass#410#false##1991#-47#2635#917901#-648292392#-77.35#87949.97#-303915.88#-535443420.36#87.52%#a#P2#e5p3Sb3XiD#lwp-mirror5.18#26 August 2006
Livvy Vize#Bouchea#411#true##2006#-4#-35073#467378#-298026767#-83.7#-92337.76#413507.46#551072754.32#40.78%#f#59#jcEh8OG6mo#lzmadec#31 July 2007
Erma Stetson#Manfern#412#true##1960#-60#55234#-355158#-255708#-4.99#47137.08#479809.7#-43104329.67#50.74%#l#GH#jUdsZJLEK9#lamed#4 June 2008
Marcelle Littler#Scaldweed#413#true##1992#-8#19175#223019#386134571#-19.93#84371.14#-737364.67#361573165.4#92.50%#i#t7#x4UsfzweqF#latexdiff-vc#6 October 2009
Jessalin Petera#Hirsute Raspberry#414#true##2011#67#-72968#98448#-890358532#31.34#-5155.07#862686.44#-537122933.52#78.63%#d#ud#qBriuHP1Qr#ldapexop#11 May 2011
Vickie Retchford#Coastal Eryngo#415#false##2008#90#52575#725051#-709597045#-93.4#83588.94#-704638.57#-530739022.55#70.69%#k#vs#hA7XYSQhdd#lex#13 February 2012
Deanna Whiterod#Bristly Hawkbit#416#false##1993#72#33019#650781#-644338941#38.15#-96704.43#-98231.7#8842049#20.80%#h#ho#VUkm83M3m7#listings-ext.sh#23 February 2013
Andrey Killner#Sandberg's Biscuitroot#417#true##2005#51#22945#231863#-814315085#41#-88560.48#413240.32#-170664689.79#05.14%#e#Tz#BrQWQtDaWc#localemanager#16 March 2013
Emelina Maudett#Slender Milkvetch#418#true##2008#-94#22402#432251#-90986953#78.38#60528.67#69272.57#-820442309.75#96.84%#t#ZZ#x1Ja1fqBQW#lpdlsbom#22 May 2013
Barron Verheyden#Wainiha Valley Yellow Loosestrife#419#true##2012#-74#-71120#139783#17700124#39.29#96454.32#-497103.83#-767124377.76#72.93%#c#SH#rcC7iL4cVs#luatex#5 February 2015
Rorke Cometto#Fringed Black Bindweed#420#false##1995#25#41631#-51020#-88797313#6.33#-64853.15#271053.23#540155901.16#12.57%#e#Q3#6MJC24W2hh#lwp-request#9 September 2015
Zitella Ruoss#Pyrenopsis Lichen#421#true##1962#57#-16354#-611550#6344410#-97.24#88851.52#180299.74#-219771399.37#67.96%#n#we#HdfGIqeW0c#lzmainfo#1 November 2015
Sam Cornbill#Hempvine#422#true##1993#27#62290#665736#-494296920#25.32#-43136.83#-546648.33#541294066.96#39.33%#p#PQ#ZkprmVgEa0#languagesetup#18 June 2016
Skip McKeady#Mescal Bean#423#false##1988#-30#72948#-767986#257880574#-37.42#83021.67#-682175.68#987036320.32#85.26%#q#lU#q8y0hKfkOf#latexfileversion#30 June 2016
Lela Ferry#Western Swordfern#424#false##1994#36#90787#200968#314491817#-3.32#55769.43#-404383.46#843890814.22#15.67%#d#Iy#s7MvlJNW1H#ldapmodify#15 August 2016
Jolene Ranfield#Frost Grass#425#true##2002#-22#34861#-712445#-5817165#-61.3#55784.51#-781838.94#523938258.43#20.21%#u#Y6#Rhr39rXJXZ#libnetcfg#19 August 2016
Nathanial Wafer#Winter's Bark#426#false##1996#-67#-59862#647755#-238274472#-13.71#-53437.17#-648627.81#-194631025.65#30.61%#q#2J#SnCOFNj2mj#listres#14 March 2001
Lory Rubinivitz#Wart Lichen#427#false##2005#-73#-19495#504993#743357643#-59.4#-58885.41#-598722.92#-905583010.25#71.10%#n#7n#FcSMwfcVuu#locate#17 March 2001
Holly Byles#Fringed Dodder#428#true##2001#71#-80154#115#-183194624#-69.84#-91903.74#514484.65#494710187.99#51.93%#u#Vw#CTs5dBxCSG#lpadmin#24 March 2001
Crissie Ilyukhov#Roemer's Spurge#429#false##1995#96#-45336#308070#-92421729#-91.49#76265.08#44985.1#30046879.82#90.29%#c#7y#ubFWjD5jM4#lskq#5 April 2001
Judon Filson#Modoc Hawksbeard#430#false##1992#37#16665#-753568#-368861200#13.36#45040.06#-899465.65#524838963.07#65.22%#x#tm#YSsqqPbxKO#luatools#7 August 2001
Suzann Keirl#Orcutt's Bristleweed#431#false##2010#88#-97080#-760664#358208782#34.75#47076.91#238858.32#-970159924.86#06.73%#o#WW#NTSjrFGoBR#lwp-request5.16#15 October 2001
Hube Penchen#Carolina Orange Lichen#432#false##2007#-18#84708#746221#146499403#95.59#1836.16#437743#885963382.94#85.24%#r#0Q#h1Zgy9sZlp#lzmore#7 July 2003
Peirce Culbert#Gray Bushmallow#433#false##2012#-7#-28953#-606876#-414482697#-7.76#-17527.05#449906.14#438623376.07#58.64%#l#em#hlZryhPqRf#last#6 August 2003
